"Site","Name","Level","data_rescale_case","tslength","ndatapoints","longestrun","propmissing","nruns10","effectivenE2"
"Blelham Tarn (UK)","Chla","Total",1,312,300,204,0.0384615384615385,2,296
"Blelham Tarn (UK)","Zooplankton","Total",3,324,310,190,0.0432098765432099,4,302
"Esthwaite Water (UK)","Chla","Total",1,384,383,298,0.00260416666666667,2,379
"Esthwaite Water (UK)","Zooplankton","Total",3,395,393,242,0.00506329113924051,3,387
"Windermere North (UK)","copepod","FG",1,383,370,248,0.0339425587467363,3,364
"Windermere North (UK)","large.clad","FG",3,383,370,248,0.0339425587467363,3,364
"Windermere North (UK)","small.clad","FG",3,383,370,248,0.0339425587467363,3,364
"Windermere North (UK)","Chla","Total",1,384,384,384,0,1,382
"Windermere North (UK)","Zooplankton","Total",3,395,394,328,0.00253164556962025,2,390
"Lake Apopka (FL)","clad","FG",3,200,197,157,0.015,2,191
"Lake Apopka (FL)","copepod","FG",3,195,192,152,0.0153846153846154,2,186
"Lake Apopka (FL)","Chla","Total",1,212,206,149,0.0283018867924528,2,193
"Lake Apopka (FL)","Zooplankton","Total",1,195,192,152,0.0153846153846154,2,186
"Lake Beauclair (FL)","clad","FG",3,197,187,148,0.050761421319797,2,178
"Lake Beauclair (FL)","copepod","FG",3,194,184,145,0.0515463917525773,2,175
"Lake Beauclair (FL)","Chla","Total",1,210,202,193,0.0380952380952381,1,195
"Lake Beauclair (FL)","Zooplankton","Total",3,194,184,145,0.0515463917525773,2,175
"Lake Dora (FL)","clad","FG",3,199,184,152,0.0753768844221105,2,167
"Lake Dora (FL)","copepod","FG",1,194,179,147,0.077319587628866,2,162
"Lake Dora (FL)","Chla","Total",1,203,192,73,0.0541871921182266,4,174
"Lake Dora (FL)","Zooplankton","Total",1,194,179,147,0.077319587628866,2,162
"Lake Eustis (FL)","clad","FG",3,199,187,152,0.0603015075376884,2,173
"Lake Eustis (FL)","copepod","FG",1,194,182,147,0.0618556701030928,2,168
"Lake Eustis (FL)","Chla","Total",1,173,165,154,0.046242774566474,1,153
