"Site","Year","Month","Temp"
"Lake Apopka (FL)",1999,1,15.14
"Lake Apopka (FL)",1999,2,21.3
"Lake Apopka (FL)",1999,3,16.9
"Lake Apopka (FL)",1999,4,24.08
"Lake Apopka (FL)",1999,5,20.4
"Lake Apopka (FL)",1999,6,26.44
"Lake Apopka (FL)",1999,7,28.5
"Lake Apopka (FL)",1999,8,NA
"Lake Apopka (FL)",1999,9,28.6
"Lake Apopka (FL)",1999,10,27
"Lake Apopka (FL)",1999,11,23.3
"Lake Apopka (FL)",1999,12,NA
"Lake Apopka (FL)",2000,1,17.4
"Lake Apopka (FL)",2000,2,13.3
"Lake Apopka (FL)",2000,3,19.7
"Lake Apopka (FL)",2000,4,23.8
"Lake Apopka (FL)",2000,5,24.3
"Lake Apopka (FL)",2000,6,28.7
"Lake Apopka (FL)",2000,7,29.1
"Lake Apopka (FL)",2000,8,NA
"Lake Apopka (FL)",2000,9,29
"Lake Apopka (FL)",2000,10,24.5
"Lake Apopka (FL)",2000,11,20.6
"Lake Apopka (FL)",2000,12,20.4
"Lake Apopka (FL)",2001,1,9.4
"Lake Apopka (FL)",2001,2,14
"Lake Apopka (FL)",2001,3,13.10000038
"Lake Apopka (FL)",2001,4,18.99
"Lake Apopka (FL)",2001,5,22.86
"Lake Apopka (FL)",2001,6,28.1
"Lake Apopka (FL)",2001,7,29.1
"Lake Apopka (FL)",2001,8,27.5
"Lake Apopka (FL)",2001,9,29.4
"Lake Apopka (FL)",2001,10,20
"Lake Apopka (FL)",2001,11,18.1
"Lake Apopka (FL)",2001,12,22.5
"Lake Apopka (FL)",2002,1,10.1
"Lake Apopka (FL)",2002,2,14.5
"Lake Apopka (FL)",2002,3,12.9
"Lake Apopka (FL)",2002,4,19.7
"Lake Apopka (FL)",2002,5,26.9
"Lake Apopka (FL)",2002,6,27.4
"Lake Apopka (FL)",2002,7,26.8
"Lake Apopka (FL)",2002,8,28
"Lake Apopka (FL)",2002,9,29.9
"Lake Apopka (FL)",2002,10,27.8
"Lake Apopka (FL)",2002,11,21.8
"Lake Apopka (FL)",2002,12,17.4
"Lake Apopka (FL)",2003,1,12.6
"Lake Apopka (FL)",2003,2,15.3
"Lake Apopka (FL)",2003,3,20.5
"Lake Apopka (FL)",2003,4,23
"Lake Apopka (FL)",2003,5,27.2
"Lake Apopka (FL)",2003,6,27
"Lake Apopka (FL)",2003,7,28.4
"Lake Apopka (FL)",2003,8,31.2
"Lake Apopka (FL)",2003,9,30.2
"Lake Apopka (FL)",2003,10,26.1
"Lake Apopka (FL)",2003,11,24.4
"Lake Apopka (FL)",2003,12,15.1
"Lake Apopka (FL)",2004,1,19.6
"Lake Apopka (FL)",2004,2,15.5
"Lake Apopka (FL)",2004,3,17.9
"Lake Apopka (FL)",2004,4,18.3
"Lake Apopka (FL)",2004,5,23.1
"Lake Apopka (FL)",2004,6,27.9
"Lake Apopka (FL)",2004,7,29.2
"Lake Apopka (FL)",2004,8,28.6
"Lake Apopka (FL)",2004,9,27.6
"Lake Apopka (FL)",2004,10,27.6
"Lake Apopka (FL)",2004,11,25.4
"Lake Apopka (FL)",2004,12,20.1
"Lake Apopka (FL)",2005,1,16.4
"Lake Apopka (FL)",2005,2,14.8
"Lake Apopka (FL)",2005,3,16
"Lake Apopka (FL)",2005,4,21.2
"Lake Apopka (FL)",2005,5,22.9
"Lake Apopka (FL)",2005,6,27.5
"Lake Apopka (FL)",2005,7,29.5
"Lake Apopka (FL)",2005,8,29.5
"Lake Apopka (FL)",2005,9,27.4
"Lake Apopka (FL)",2005,10,27.9
"Lake Apopka (FL)",2005,11,22.5
"Lake Apopka (FL)",2005,12,14.7
"Lake Apopka (FL)",2006,1,13.7
"Lake Apopka (FL)",2006,2,14.9
"Lake Apopka (FL)",2006,3,18.9
"Lake Apopka (FL)",2006,4,23
"Lake Apopka (FL)",2006,5,21.9
"Lake Apopka (FL)",2006,6,26.8
"Lake Apopka (FL)",2006,7,29.3
"Lake Apopka (FL)",2006,8,29.2
"Lake Apopka (FL)",2006,9,29.3
"Lake Apopka (FL)",2006,10,24
"Lake Apopka (FL)",2006,11,21.95
"Lake Apopka (FL)",2006,12,17.6
"Lake Apopka (FL)",2007,1,20.1
"Lake Apopka (FL)",2007,2,13.2
"Lake Apopka (FL)",2007,3,16.59
"Lake Apopka (FL)",2007,4,24.5
"Lake Apopka (FL)",2007,5,24.4
"Lake Apopka (FL)",2007,6,26.15
"Lake Apopka (FL)",2007,7,28.47
"Lake Apopka (FL)",2007,8,28.5
"Lake Apopka (FL)",2007,9,28.3
"Lake Apopka (FL)",2007,10,26.8
"Lake Apopka (FL)",2007,11,20.12
"Lake Apopka (FL)",2007,12,21.6
"Lake Apopka (FL)",2008,1,14.5
"Lake Apopka (FL)",2008,2,20.15
"Lake Apopka (FL)",2008,3,20.2
"Lake Apopka (FL)",2008,4,22.99
"Lake Apopka (FL)",2008,5,25.2
"Lake Apopka (FL)",2008,6,28.2
"Lake Apopka (FL)",2008,7,26.75
"Lake Apopka (FL)",2008,8,29.95
"Lake Apopka (FL)",2008,9,27.66
"Lake Apopka (FL)",2008,10,24.89
"Lake Apopka (FL)",2008,11,19.73
"Lake Apopka (FL)",2008,12,15.61
"Lake Apopka (FL)",2009,1,18.4
"Lake Apopka (FL)",2009,2,13.77
"Lake Apopka (FL)",2009,3,12.61
"Lake Apopka (FL)",2009,4,21.86
"Lake Apopka (FL)",2009,5,26.14
"Lake Apopka (FL)",2009,6,27.1
"Lake Apopka (FL)",2009,7,28.19
"Lake Apopka (FL)",2009,8,29.58
"Lake Apopka (FL)",2009,9,28.4
"Lake Apopka (FL)",2009,10,27.03
"Lake Apopka (FL)",2009,11,23.18
"Lake Apopka (FL)",2009,12,18.3
"Lake Apopka (FL)",2010,1,8.05
"Lake Apopka (FL)",2010,2,14.06
"Lake Apopka (FL)",2010,3,11.78
"Lake Apopka (FL)",2010,4,22.45
"Lake Apopka (FL)",2010,5,27.23
"Lake Apopka (FL)",2010,6,28.24
"Lake Apopka (FL)",2010,7,28.26
"Lake Apopka (FL)",2010,8,30.36
"Lake Apopka (FL)",2010,9,27.36
"Lake Apopka (FL)",2010,10,23.6
"Lake Apopka (FL)",2010,11,23.86
"Lake Apopka (FL)",2010,12,16.13
"Lake Apopka (FL)",2011,1,14.17
"Lake Apopka (FL)",2011,2,17.63
"Lake Apopka (FL)",2011,3,20.44
"Lake Apopka (FL)",2011,4,20.38
"Lake Apopka (FL)",2011,5,25.26
"Lake Apopka (FL)",2011,6,26.45
"Lake Apopka (FL)",2011,7,29.02
"Lake Apopka (FL)",2011,8,30.39
"Lake Apopka (FL)",2011,9,27.2
"Lake Apopka (FL)",2011,10,24.58
"Lake Apopka (FL)",2011,11,19.97
"Lake Apopka (FL)",2011,12,18.51
"Lake Apopka (FL)",2012,1,14.77
"Lake Apopka (FL)",2012,2,14.95
"Lake Apopka (FL)",2012,3,20.37
"Lake Apopka (FL)",2012,4,23.67
"Lake Apopka (FL)",2012,5,24.2
"Lake Apopka (FL)",2012,6,28.11
"Lake Apopka (FL)",2012,7,28.71
"Lake Apopka (FL)",2012,8,28.4
"Lake Apopka (FL)",2012,9,25.54
"Lake Apopka (FL)",2012,10,24.38
"Lake Apopka (FL)",2012,11,20.04
"Lake Apopka (FL)",2012,12,21.86
"Lake Apopka (FL)",2013,1,21.4
"Lake Apopka (FL)",2013,2,21.02
"Lake Apopka (FL)",2013,3,16.43
"Lake Apopka (FL)",2013,4,24.59
"Lake Apopka (FL)",2013,5,23.64
"Lake Apopka (FL)",2013,6,26.94
"Lake Apopka (FL)",2013,7,26.98
"Lake Apopka (FL)",2013,8,28.89
"Lake Apopka (FL)",2013,9,27.77
"Lake Apopka (FL)",2013,10,24.02
"Lake Apopka (FL)",2013,11,20.75
"Lake Apopka (FL)",2013,12,14.69
"Lake Apopka (FL)",2014,1,16.42
"Lake Apopka (FL)",2014,2,16.89
"Lake Apopka (FL)",2014,3,17.9
"Lake Apopka (FL)",2014,4,21.14
"Lake Apopka (FL)",2014,5,26.34
"Lake Apopka (FL)",2014,6,26.26
"Lake Apopka (FL)",2014,7,27.88
"Lake Apopka (FL)",2014,8,28.31
"Lake Apopka (FL)",2014,9,27.36
"Lake Apopka (FL)",2014,10,24.72
"Lake Apopka (FL)",2014,11,19.5
"Lake Apopka (FL)",2014,12,15.07
"Lake Apopka (FL)",2015,1,15.33
"Lake Apopka (FL)",2015,2,12.67
"Lake Apopka (FL)",2015,3,23.61
"Lake Apopka (FL)",2015,4,26.45
"Lake Apopka (FL)",2015,5,27.11
"Lake Apopka (FL)",2015,6,28.03
"Lake Apopka (FL)",2015,7,28.45
"Lake Apopka (FL)",2015,8,28.81
"Lake Apopka (FL)",2015,9,26.2
"Lake Apopka (FL)",2015,10,25.27
"Lake Apopka (FL)",2015,11,NA
"Lake Apopka (FL)",2015,12,22.16
"Lake Apopka (FL)",2016,1,NA
"Lake Apopka (FL)",2016,2,16.31
"Lake Apopka (FL)",2016,3,24.6
"Lake Apopka (FL)",2016,4,21.67
"Lake Apopka (FL)",2016,5,26.86
"Lake Apopka (FL)",2016,6,26.18
"Lake Apopka (FL)",2016,7,29.82
"Lake Apopka (FL)",2016,8,NA
"Lake Beauclair (FL)",1999,2,21.5
"Lake Beauclair (FL)",1999,3,NA
"Lake Beauclair (FL)",1999,4,NA
"Lake Beauclair (FL)",1999,5,21
"Lake Beauclair (FL)",1999,6,NA
"Lake Beauclair (FL)",1999,7,NA
"Lake Beauclair (FL)",1999,8,NA
"Lake Beauclair (FL)",1999,9,NA
"Lake Beauclair (FL)",1999,10,27.6
"Lake Beauclair (FL)",1999,11,24.2
"Lake Beauclair (FL)",1999,12,18.9
"Lake Beauclair (FL)",2000,1,NA
"Lake Beauclair (FL)",2000,2,15
"Lake Beauclair (FL)",2000,3,21.1
"Lake Beauclair (FL)",2000,4,25
"Lake Beauclair (FL)",2000,5,26
"Lake Beauclair (FL)",2000,6,29.8
"Lake Beauclair (FL)",2000,7,30.3
"Lake Beauclair (FL)",2000,8,31.2
