"Site","Name","Level","Frequency","Period","Power"
"Blelham Tarn (UK)","Chla","Total",0.0036231884057971,276,0.107559703816115
"Blelham Tarn (UK)","Chla","Total",0.0072463768115942,138,0.0542201959597675
"Blelham Tarn (UK)","Chla","Total",0.0108695652173913,92,0.0472504803563624
"Blelham Tarn (UK)","Chla","Total",0.0144927536231884,69,0.0302941394218935
"Blelham Tarn (UK)","Chla","Total",0.0181159420289855,55.2,0.044675807046729
"Blelham Tarn (UK)","Chla","Total",0.0217391304347826,46,0.111560787472899
"Blelham Tarn (UK)","Chla","Total",0.0253623188405797,39.4285714285714,0.0608626959957555
"Blelham Tarn (UK)","Chla","Total",0.0289855072463768,34.5,0.122525920618734
"Blelham Tarn (UK)","Chla","Total",0.0326086956521739,30.6666666666667,0.0331393078533869
"Blelham Tarn (UK)","Chla","Total",0.036231884057971,27.6,0.0487559717561018
"Blelham Tarn (UK)","Chla","Total",0.0398550724637681,25.0909090909091,0.150945845331722
"Blelham Tarn (UK)","Chla","Total",0.0434782608695652,23,0.0504607149083519
"Blelham Tarn (UK)","Chla","Total",0.0471014492753623,21.2307692307692,0.0420312058691737
"Blelham Tarn (UK)","Chla","Total",0.0507246376811594,19.7142857142857,0.0972624073103642
"Blelham Tarn (UK)","Chla","Total",0.0543478260869565,18.4,0.0929824237936508
"Blelham Tarn (UK)","Chla","Total",0.0579710144927536,17.25,0.117496328284504
"Blelham Tarn (UK)","Chla","Total",0.0615942028985507,16.2352941176471,0.118696078401539
"Blelham Tarn (UK)","Chla","Total",0.0652173913043478,15.3333333333333,0.148875832744876
"Blelham Tarn (UK)","Chla","Total",0.0688405797101449,14.5263157894737,0.133033514421292
"Blelham Tarn (UK)","Chla","Total",0.072463768115942,13.8,0.206752513733441
"Blelham Tarn (UK)","Chla","Total",0.0760869565217391,13.1428571428571,0.0630256716776496
"Blelham Tarn (UK)","Chla","Total",0.0797101449275362,12.5454545454545,0.120278353470116
"Blelham Tarn (UK)","Chla","Total",0.0833333333333333,12,0.521952869690477
"Blelham Tarn (UK)","Chla","Total",0.0869565217391304,11.5,0.0584304997332157
"Blelham Tarn (UK)","Chla","Total",0.0905797101449275,11.04,0.0150467669477579
"Blelham Tarn (UK)","Chla","Total",0.0942028985507246,10.6153846153846,0.289043086376845
"Blelham Tarn (UK)","Chla","Total",0.0978260869565217,10.2222222222222,0.0126438373957513
"Blelham Tarn (UK)","Chla","Total",0.101449275362319,9.85714285714286,0.0624803647756215
"Blelham Tarn (UK)","Chla","Total",0.105072463768116,9.51724137931035,0.0825516513184134
"Blelham Tarn (UK)","Chla","Total",0.108695652173913,9.2,0.0865139587130153
"Blelham Tarn (UK)","Chla","Total",0.11231884057971,8.90322580645161,0.171729983826505
"Blelham Tarn (UK)","Chla","Total",0.115942028985507,8.625,0.113919596321603
"Blelham Tarn (UK)","Chla","Total",0.119565217391304,8.36363636363636,0.0302874568406514
"Blelham Tarn (UK)","Chla","Total",0.123188405797101,8.11764705882353,0.131338853129066
"Blelham Tarn (UK)","Chla","Total",0.126811594202899,7.88571428571429,0.0827563111651212
"Blelham Tarn (UK)","Chla","Total",0.130434782608696,7.66666666666667,0.0579315998143879
"Blelham Tarn (UK)","Chla","Total",0.134057971014493,7.45945945945946,0.0516199858712163
"Blelham Tarn (UK)","Chla","Total",0.13768115942029,7.26315789473684,0.0293116758504124
"Blelham Tarn (UK)","Chla","Total",0.141304347826087,7.07692307692308,0.115870035254268
"Blelham Tarn (UK)","Chla","Total",0.144927536231884,6.9,0.194349491895881
"Blelham Tarn (UK)","Chla","Total",0.148550724637681,6.73170731707317,0.104974337304338
"Blelham Tarn (UK)","Chla","Total",0.152173913043478,6.57142857142857,0.0795784496090628
"Blelham Tarn (UK)","Chla","Total",0.155797101449275,6.41860465116279,0.109615661598944
